prolific_id,completion_time,condition,construct,indicator,rating
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation diversity,D1,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation diversity,D2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation diversity,D3,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived system effectiveness,E1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived system effectiveness,E2,-1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived system effectiveness,E3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived transparency,P1,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived transparency,P2,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived transparency,P3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation quality,Q1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation quality,Q2,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation quality,Q3,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived recommendation quality,Q4,-2
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived trust,T1,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived trust,T2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived trust,T3,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:04:52,HETG_CONT,Perceived trust,T4,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation diversity,D1,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation diversity,D2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation diversity,D3,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived system effectiveness,E1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived system effectiveness,E2,-1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived system effectiveness,E3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived transparency,P1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived transparency,P2,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived transparency,P3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation quality,Q1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation quality,Q2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation quality,Q3,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived recommendation quality,Q4,-2
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived trust,T1,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived trust,T2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived trust,T3,0
65be49c47056d13e2b2fa4b6,2024-05-15 13:12:01,BASE,Perceived trust,T4,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation diversity,D1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation diversity,D2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation diversity,D3,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived system effectiveness,E1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived system effectiveness,E2,-1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived system effectiveness,E3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived transparency,P1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived transparency,P2,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived transparency,P3,2
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation quality,Q1,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation quality,Q2,1
65be49c47056d13e2b2fa4b6,2024-05-15 13:16:57,BASE_CONT,Perceived recommendation quality,Q3,2
