peer_id,person_id,conditions,symptoms,treatments,demographics,lifestyle
1,2,0.560779,0.326322,0.717304,0.818841,0.833333
1,3,0.571082,0.502385,0.713556,0.413043,0.500000
1,4,0.552947,0.494636,0.658044,0.862319,1.000000
1,5,0.571082,0.457267,0.512089,0.855072,1.000000
1,6,0.561017,0.590008,0.173852,0.920290,0.833333
1,7,0.571082,0.460903,0.631870,0.485915,0.833333
1,8,0.475614,0.448801,0.565837,0.913043,0.833333
1,9,0.507214,0.461436,0.645971,0.369565,0.833333
1,10,0.555136,0.364189,0.536436,0.942029,0.500000
1,11,0.547508,0.431883,0.547583,0.434783,0.333333
1,12,0.527893,0.409733,0.549465,0.956522,0.333333
1,13,0.571082,0.371099,0.777587,0.420290,0.833333
1,14,0.485205,0.382445,0.467874,0.978261,1.000000
1,15,0.527539,,0.680472,0.478261,0.333333
1,16,0.571082,,0.666290,0.992754,1.000000
1,17,0.571082,,0.556076,0.391304,0.333333
1,18,0.560779,,0.680048,0.405797,1.000000
1,19,0.560779,,0.678539,0.979167,0.833333
1,20,0.580708,0.399448,0.496686,0.472603,0.833333
1,21,0.560779,,0.572636,0.478261,0.833333
1,22,0.535177,0.463239,0.626703,0.466216,1.000000
1,23,0.510277,0.459338,0.539157,0.869565,1.000000
1,24,0.571082,0.446228,0.640194,0.427536,0.833333
1,25,0.484461,,0.670534,0.978261,0.166667
2,3,0.598082,0.450939,0.704931,0.385965,0.333333
2,4,0.785016,0.460102,0.692229,0.940000,0.833333
2,5,0.598082,0.411842,0.473078,0.948980,0.833333
2,6,0.691329,0.414128,0.122670,0.879310,1.000000
2,7,0.598082,0.370323,0.649069,0.309859,1.000000
2,8,0.656238,0.454809,0.589391,0.885965,1.000000
2,9,0.813614,0.402244,0.653969,0.431373,0.666667
2,10,0.809330,0.577629,0.521162,0.860656,0.333333
2,11,0.689691,0.392004,0.518301,0.366667,0.500000
2,12,0.630747,0.340126,0.522051,0.849206,0.166667
2,13,0.598082,0.365620,0.781135,0.379310,1.000000
2,14,0.649073,0.462882,0.431664,0.833333,0.833333
2,15,0.763913,,0.665083,0.333333,0.166667
2,16,0.598082,,0.675577,0.823529,0.833333
2,17,0.598082,,0.541037,0.407407,0.500000
2,18,1.000000,,0.673151,0.392857,0.833333
2,19,1.000000,,0.693082,0.805556,0.666667
2,20,0.862957,0.308131,0.464401,0.301370,1.000000
2,21,1.000000,,0.575766,0.333333,0.666667
2,22,0.645950,0.457758,0.561582,0.297297,0.833333
2,23,0.706734,0.431002,0.537021,0.931373,0.833333
2,24,0.598082,0.476643,0.644322,0.372881,1.000000
2,25,0.534756,,0.635510,0.833333,0.333333
3,4,0.630217,0.820191,0.814985,0.438596,0.500000
3,5,1.000000,0.786512,0.624513,0.429825,0.500000
3,6,0.791373,0.807141,0.124669,0.491379,0.333333
3,7,1.000000,0.684112,0.847636,0.901408,0.333333
3,8,0.507384,0.652560,0.762367,0.500000,0.333333
3,9,0.542571,0.749939,0.831348,0.947368,0.333333
3,10,0.616410,0.589065,0.682784,0.467213,1.000000
3,11,0.493675,0.735276,0.684293,0.975000,0.833333
3,12,0.664023,0.402356,0.687920,0.452381,0.833333
3,13,1.000000,0.718179,0.608319,0.991379,0.333333
3,14,0.493203,0.539011,0.598145,0.431818,0.500000
3,15,0.699680,,0.852809,0.931818,0.333333
3,16,1.000000,,0.849247,0.419118,0.500000
3,17,1.000000,,0.689482,0.973684,0.833333
3,18,0.598082,,0.865214,0.991228,0.500000
3,19,0.598082,,0.888708,0.395833,0.333333
3,20,0.649870,0.647093,0.585603,0.890411,0.333333
3,21,0.598082,,0.699164,0.931818,0.333333
3,22,0.713874,0.761337,0.593762,0.885135,0.500000
3,23,0.513646,0.709455,0.682685,0.447368,0.500000
3,24,1.000000,0.779823,0.828430,0.983051,0.333333
3,25,0.657432,,0.822994,0.431818,0.666667
4,5,0.630217,0.738511,0.531555,0.990000,1.000000
4,6,0.684890,0.802077,0.103101,0.931034,0.833333
4,7,0.630217,0.637919,0.729872,0.352113,0.833333
4,8,0.606475,0.651121,0.763739,0.938596,0.833333
4,9,0.674306,0.696738,0.722147,0.490196,0.833333
4,10,0.746487,0.633256,0.581109,0.909836,0.500000
4,11,0.627291,0.702362,0.620171,0.416667,0.333333
4,12,0.641941,0.417869,0.602299,0.896825,0.333333
4,13,0.630217,0.670633,0.518356,0.431034,0.833333
4,14,0.620519,0.532366,0.501499,0.878788,1.000000
4,15,0.704993,,0.772645,0.378788,0.333333
4,16,0.630217,,0.737799,0.867647,1.000000
4,17,0.630217,,0.592540,0.462963,0.333333
4,18,0.785016,,0.746701,0.446429,1.000000
4,19,0.785016,,0.775207,0.847222,0.833333
4,20,0.758120,0.599788,0.497329,0.342466,0.833333
4,21,0.785016,,0.670431,0.378788,0.833333
4,22,0.664850,0.691537,0.528266,0.337838,1.000000
4,23,0.652835,0.693120,0.601549,0.990196,1.000000
4,24,0.630217,0.713042,0.718794,0.423729,0.833333
4,25,0.563427,,0.745648,0.878788,0.166667
